"","Ledger.Name","Project.No","Project.Description","Date","Period","Reference","Trans.Nbr","Ordernr","Order.Line.Nbr","Document.Type","Unique.Number","Amount","Narrative.1","Narrative.2","Narrative.3","Funding.Source","Accountnr","X","CapSentiment","CapSentiment_Cl"
"527","20PLACT","C100253","Sample Station CV08 Access Platform","20/12/2019",7,"136478",4,"P041205",1,"APINVP",262694,96974,"Utah Sample Station Access Upgrade","","Goodline","MIN1819","C100253.6105.28.00",NA,0.894427190999916,1
"1107","20PLACT","M201000","I-D Infrastructure - Site Road","3/02/2020",8,"1498",41,"P044922",1,"APINVP",266666,12480,"Supply and Install Concrete Pathways","","HelpCon Enterprises","MAINT","M201000.6105.02.00",NA,0.894427190999916,1
"1130","20PLACT","M201000","I-D Infrastructure - Site Road","12/10/2019",4,"1451",16,"P042517",1,"APINVP",246835,4742,"Supply and install concrete ramp","","HelpCon Enterprises","MAINT","M201000.6105.28.00",NA,0.894427190999916,1
"2247","20PLACT","M204000","I-W Infrastructure - Wharf","29/07/2019",1,"00006965",13,"P040349",2,"APINVP",232070,3934,"Cavotec No.8 Oil leak repair","","Madson Mechanical Maintenance","MAINT","M204000.6105.28.00",NA,0.894427190999916,1
"4813","20PLACT","M301000","L-B Land & Buildings - Building","3/02/2020",8,"1496",286,"P045101",1,"APINVP",266668,1980,"Supply and Install Concrete Kerbing","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.894427190999916,1
"9614","20PLACT","M401000","P-C Plant & Equip - Conveyors System","16/12/2019",7,"135856",230,"P043346",1,"APINVP",262160,3168,"Supply, fabricate, install 2 swing gates","","Goodline","MAINT","M401000.6105.28.00",NA,0.894427190999916,1
"8483","20PLACT","M302000","L-H Land & Buildings - Houses","16/07/2019",1,"1417",9,"P039292",1,"APINVP",230060,5016,"Concrete Hardstand Install","","HelpCon Enterprises","MAINT","M302000.6105.02.00",NA,0.866025403784439,1
"130","20PLACT","C100102","PIR IMOC Project Support Services - Construction","29/08/2019",3,"48583",6,"P038491",2,"APINVP",241304,4657,"Goldsworthy Rear Lead - Upgrade Pwr Supp","","Wesco Electrics","PIR","C100102.6105.02.01",NA,0.816496580927726,1
"4667","20PLACT","M301000","L-B Land & Buildings - Building","31/10/2019",4,"RJ001509",140,"",NA,"$REVJRNL",0,11680,"Installation of New Concrete Ground Well","HelpCon Enterprises; Inv: 1456; P042568","Unposted Doc Accrual 081567","MAINT","M301000.6105.02.00",NA,0.816496580927726,1
"4693","20PLACT","M301000","L-B Land & Buildings - Building","15/10/2019",5,"1456",166,"P042568",1,"APINVP",250067,11680,"Installation of New Concrete Ground Well","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.816496580927726,1
"9586","20PLACT","M401000","P-C Plant & Equip - Conveyors System","30/11/2019",5,"RJ001556",202,"",NA,"$REVJRNL",0,2105,"Fabricate 1 x Stainless steel HV cover","Madson Mechanical Maintenance; Inv: 0000","Unposted Doc Accrual 083117","MAINT","M401000.6105.28.00",NA,0.816496580927726,1
"9590","20PLACT","M401000","P-C Plant & Equip - Conveyors System","4/11/2019",6,"00006850",206,"P041635",1,"APINVP",255563,2105,"Fabricate 1 x Stainless steel HV cover","","Madson Mechanical Maintenance","MAINT","M401000.6105.28.00",NA,0.816496580927726,1
"2473","20PLACT","M204000","I-W Infrastructure - Wharf","9/08/2019",2,"PH2536TT",118,"P040659",4,"APINVP",235994,21,"DRILL HIGH SPEED STEEL JBS 13/64""","","Blackwoods Hardware","MAINT","M204000.6230.02.00",NA,0.804984471899924,1
"273","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/08/2019",2,"RJ001418",2,"",NA,"$REVJRNL",0,1451,"CROP ADVERT EXTENSION 17th and 31st July","P038520/0","EOM PL Commitment accrual","PIR","C100134.6860.02.00",NA,0.755928946018454,1
"275","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/07/2019",3,"1028531020190731",4,"P038520",1,"APINVP",240367,1451,"CROP ADVERT EXTENSION 17th and 31st July","","West Australian Newspaper Limited","PIR","C100134.6860.02.00",NA,0.755928946018454,1
"12846","20PLACT","M405000","P-W Plant & Equip - Water Distribution","6/12/2019",6,"1484",68,"P043989",1,"APINVP",257953,42862,"Install new HD Concrete pit/liner Ramp 2","","HelpCon Enterprises","MAINT","M405000.6105.28.00",NA,0.755928946018454,1
"190","20PLACT","C100085","PIR (IMOC) Tower & Building D & C Contract","8/07/2019",2,"48360",8,"P039858",1,"APINVP",232686,1343,"IMOC Level 5 Electrical Works","","Wesco Electrics","PIR","C100085.6105.02.01",NA,0.75,1
"194","20PLACT","C100085","PIR (IMOC) Tower & Building D & C Contract","31/07/2019",1,"RJ001388",4,"",NA,"$REVJRNL",0,1343,"IMOC Level 5 Electrical Works","Wesco Electrics; Inv: 48360; P039858","Unposted Doc Accrual 076329","PIR","C100085.6105.02.01",NA,0.75,1
"4711","20PLACT","M301000","L-B Land & Buildings - Building","19/11/2019",5,"00003464",184,"P042600",1,"APINVP",253489,3590,"Gate house Steel Paint","","Turbo Painting and Decorating Pty Ltd","MAINT","M301000.6105.02.00",NA,0.75,1
"751","20PLACT","C102023","POA Dome Shelter","25/09/2019",3,"GJ002779",5,"",NA,"$JOURNAL",243025,4350,"20ft High Cube Container ‘As New’","P037906 INV-00458605","Royal Wolf Trading Australia","AGREEM","C102023.6885.03.00",NA,0.734846922834954,1
"758","20PLACT","C102023","POA Dome Shelter","25/09/2019",3,"GJ002779",12,"",NA,"$JOURNAL",243025,13000,"40ft High Cube Container ‘As New’","P037906 INV-00458605","Royal Wolf Trading Australia","AGREEM","C102023.6885.03.00",NA,0.734846922834954,1
"363","20PLACT","C100185","Berth 3 Deck Replacement","26/06/2019",1,"21101",1,"P034694",1,"APINVP",226564,2643005,"Construction Contract","","Total AMS Pty Ltd","MAJOR","C100185.6105.27.00",NA,0.707106781186547,1
"365","20PLACT","C100185","Berth 3 Deck Replacement","31/07/2019",1,"RJ001388",4,"",NA,"$REVJRNL",0,961877,"Construction Contract","Total AMS Pty Ltd; Inv: 21269; P034694","Unposted Doc Accrual 076275","MAJOR","C100185.6105.27.00",NA,0.707106781186547,1
"367","20PLACT","C100185","Berth 3 Deck Replacement","29/07/2019",2,"21269",6,"P034694",1,"APINVP",232541,961877,"Construction Contract","","Total AMS Pty Ltd","MAJOR","C100185.6105.27.00",NA,0.707106781186547,1
"1337","20PLACT","M201000","I-D Infrastructure - Site Road","18/11/2019",5,"00008553",4,"P043524",1,"APINVP",255148,2461,"Assorted Steel","","Australian Steel & Procurement Services","MAINT","M201000.6230.03.00",NA,0.707106781186547,1
"1338","20PLACT","M201000","I-D Infrastructure - Site Road","18/11/2019",5,"00008539",5,"P043524",1,"APINVP",255150,2825,"Assorted Steel","","Australian Steel & Procurement Services","MAINT","M201000.6230.03.00",NA,0.707106781186547,1
"2036","20PLACT","M204000","I-W Infrastructure - Wharf","2/12/2019",6,"0109",31,"P043698",1,"APINVP",257457,3500,"Fabricate Handrails","","Oneman Custom Fabrication and Design","MAINT","M204000.6105.12.00",NA,0.707106781186547,1
"2898","20PLACT","M204000","I-W Infrastructure - Wharf","18/11/2019",5,"00008540",17,"P043526",1,"APINVP",255149,1376,"Assorted Steel","","Australian Steel & Procurement Services","MAINT","M204000.6230.13.00",NA,0.707106781186547,1
"4515","20PLACT","M301000","L-B Land & Buildings - Building","31/12/2019",7,"24103-1",186,"P044411",1,"APINVP",264028,1194,"Install Lights","","Multi Service Group","MAINT","M301000.6105.01.00",NA,0.707106781186547,1
"4615","20PLACT","M301000","L-B Land & Buildings - Building","27/09/2019",3,"1440",88,"P040760",1,"APINVP",243479,8760,"Supply and install HD Concrete Pit and L","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.707106781186547,1
"9613","20PLACT","M401000","P-C Plant & Equip - Conveyors System","17/12/2019",7,"1487",229,"P044137",1,"APINVP",262157,20830,"Install New concrete pit lid Quad 4 T/St","","HelpCon Enterprises","MAINT","M401000.6105.28.00",NA,0.707106781186547,1
"9967","20PLACT","M401000","P-C Plant & Equip - Conveyors System","31/07/2019",1,"RJ001377",66,"",NA,"$REVJRNL",0,49,"#03206500 Nipple Steel","BLACKWOODS HARDWARE; P037889/2","EOM Works Commitment accrual","MAINT","M401000.6230.28.00",NA,0.707106781186547,1
"10096","20PLACT","M401000","P-C Plant & Equip - Conveyors System","31/08/2019",2,"RJ001419",195,"",NA,"$REVJRNL",0,49,"#03206500 Nipple Steel","BLACKWOODS HARDWARE; P037889/2","EOM Works Commitment accrual","MAINT","M401000.6230.28.00",NA,0.707106781186547,1
"10203","20PLACT","M401000","P-C Plant & Equip - Conveyors System","30/09/2019",3,"RJ001461",302,"",NA,"$REVJRNL",0,49,"#03206500 Nipple Steel","BLACKWOODS HARDWARE; P037889/2","EOM Works Commitment accrual","MAINT","M401000.6230.28.00",NA,0.707106781186547,1
"10264","20PLACT","M401000","P-C Plant & Equip - Conveyors System","7/05/2019",4,"PH6187SW",363,"P037889",2,"APINVP",246973,49,"#03206500 Nipple Steel","","Blackwoods Hardware","MAINT","M401000.6230.28.00",NA,0.707106781186547,1
"12851","20PLACT","M405000","P-W Plant & Equip - Water Distribution","17/12/2019",7,"1489",73,"P044138",1,"APINVP",262155,3180,"Install New concrete pit lid Quad 4 T/St","","HelpCon Enterprises","MAINT","M405000.6105.28.00",NA,0.707106781186547,1
"12872","20PLACT","M405000","P-W Plant & Equip - Water Distribution","31/01/2020",7,"RJ001616",6,"",NA,"$REVJRNL",0,16247,"Assorted Steel","AUSTRALIAN STEEL & PROCUREMENT SERVICES;","EOM Works Commitment accrual","MAINT","M405000.6230.01.00",NA,0.707106781186547,1
"12874","20PLACT","M405000","P-W Plant & Equip - Water Distribution","17/01/2020",8,"00008991",8,"P044897",1,"APINVP",266791,16247,"Assorted Steel","","Australian Steel & Procurement Services","MAINT","M405000.6230.01.00",NA,0.707106781186547,1
"912","20PLACT","M101000","C-C Marine & Channel - Channel /Dredging","29/10/2019",8,"91577571",6,"P038233",1,"APINVP",266361,12095,"Supply and Install Lead Lights","","Broadspectrum Previously Transfield","MAINT","M101000.6105.03.00",NA,0.670820393249937,1
"1354","20PLACT","M202000","I-I Infrastructure - Infrastructure","16/07/2019",1,"1414",2,"P039107",1,"APINVP",230067,2000,"Install Set of Concrete Steps","","HelpCon Enterprises","MAINT","M202000.6105.02.00",NA,0.670820393249937,1
"1937","20PLACT","M204000","I-W Infrastructure - Wharf","21/10/2019",5,"23838",362,"P042233",1,"APINVP",250919,19198,"2019-LL-019: Additional Steelwork and Sc","","Total AMS Pty Ltd","MAINT","M204000.6105.02.00",NA,0.670820393249937,1
"2199","20PLACT","M204000","I-W Infrastructure - Wharf","24/10/2019",5,"23890",15,"P041690",1,"APINVP",252801,34224,"2019-CH-064 Fabrication of 18m Lighting","","Total AMS Pty Ltd","MAINT","M204000.6105.26.00",NA,0.670820393249937,1
"2236","20PLACT","M204000","I-W Infrastructure - Wharf","28/05/2019",1,"SV0042903",2,"P038136",2,"APINVP",227300,66339,"Install tube work Cavotec Unit 12 & 13","","CMA Electro-Hydraulic Engineers","MAINT","M204000.6105.28.00",NA,0.670820393249937,1
"2311","20PLACT","M204000","I-W Infrastructure - Wharf","4/11/2019",5,"00007044",77,"P041996",1,"APINVP",253053,2567,"Fabricate 3 x Cavotec work platforms","","Madson Mechanical Maintenance","MAINT","M204000.6105.28.00",NA,0.670820393249937,1
"4643","20PLACT","M301000","L-B Land & Buildings - Building","27/09/2019",4,"1439",116,"P039641",1,"APINVP",246564,5000,"Supply of Concrete Sphere Moulds","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.670820393249937,1
"4644","20PLACT","M301000","L-B Land & Buildings - Building","24/09/2019",4,"IW135000_001B",117,"P031303",1,"APINVP",246570,9583,"New Horizon Power Supply Works","","Jacobs Group (Australia) Pty Ltd","MAINT","M301000.6105.02.00",NA,0.670820393249937,1
"4757","20PLACT","M301000","L-B Land & Buildings - Building","19/12/2019",7,"1491",230,"P044118",1,"APINVP",261193,3520,"Install Concrete Ramp - Gobi Shed","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.670820393249937,1
"4812","20PLACT","M301000","L-B Land & Buildings - Building","3/02/2020",8,"1497",285,"P044775",1,"APINVP",266323,12650,"Delivery & Installation of 23 Concrete S","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.670820393249937,1
"7413","20PLACT","M301000","L-B Land & Buildings - Building","31/12/2019",6,"RJ001582",2297,"",NA,"$REVJRNL",0,3520,"Install Concrete Ramp - Gobi Shed","HELPCON ENTERPRISES; P044118/0","EOM Works Commitment accrual","MAINT","M301000.6230.02.00",NA,0.670820393249937,1
"11151","20PLACT","M403000","P-S Plant & Equip - Shiploading","7/11/2019",6,"8547019419",75,"P039687",1,"APINVP",257099,18000,"2Y Insp Steelwork Paint Thickness","","Akzo Nobel Pty Ltd","MAINT","M403000.6105.25.00",NA,0.670820393249937,1
"11549","20PLACT","M403000","P-S Plant & Equip - Shiploading","30/11/2019",5,"RJ001545",210,"",NA,"$REVJRNL",0,18000,"2Y Insp Steelwork Paint Thickness","AKZO NOBEL PTY LTD; P039687/0","EOM Works Commitment accrual","MAINT","M403000.6230.25.00",NA,0.670820393249937,1
"11869","20PLACT","M403000","P-S Plant & Equip - Shiploading","13/09/2019",4,"00006826",96,"P040026",4,"APINVP",245764,1265,"Fabricate CV06 Tripper Chute - Paint","","Madson Mechanical Maintenance","MAINT","M403000.6230.28.00",NA,0.670820393249937,1
"12061","20PLACT","M404000","P-E Plant & Equip - Electrical Distribution","31/08/2019",2,"RJ001433",1,"",NA,"$REVJRNL",0,20400,"Installation of Concrete Electrical Pit","HelpCon Enterprises; Inv: 1424; P038821","Unposted Doc Accrual 077858","MAINT","M404000.6105.02.00",NA,0.670820393249937,1
"12063","20PLACT","M404000","P-E Plant & Equip - Electrical Distribution","4/08/2019",3,"1424",3,"P038821",1,"APINVP",237830,20400,"Installation of Concrete Electrical Pit","","HelpCon Enterprises","MAINT","M404000.6105.02.00",NA,0.670820393249937,1
"134","20PLACT","C100102","PIR IMOC Project Support Services - Construction","20/06/2019",1,"48247",1,"P038720",2,"APINVP",226757,8239,"Forward Works - IMOC Level 7 Comms Room","","Wesco Electrics","PIR","C100102.6105.02.01",NA,0.612372435695795,1
"136","20PLACT","C100102","PIR IMOC Project Support Services - Construction","11/12/2019",6,"WA102771",10,"P037787",1,"APINVP",259444,3370,"IMOC Safety Access System Compliance Rev","","WGAWA Pty Ltd","PIR","C100102.6100.02.01",NA,0.612372435695795,1
"139","20PLACT","C100102","PIR IMOC Project Support Services - Construction","8/07/2019",2,"WA102432",7,"P037787",1,"APINVP",232690,13165,"IMOC Safety Access System Compliance Rev","","WGAWA T/A - Wallbridge Gilbert Aztec W &","PIR","C100102.6100.02.01",NA,0.612372435695795,1
"143","20PLACT","C100102","PIR IMOC Project Support Services - Construction","31/07/2019",1,"RJ001388",3,"",NA,"$REVJRNL",0,13165,"IMOC Safety Access System Compliance Rev","WGAWA T/A - Wallbridge Gilbert Aztec W &","Unposted Doc Accrual 076332","PIR","C100102.6100.02.01",NA,0.612372435695795,1
"241","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","29/07/2019",2,"2019/012",16,"",NA,"$APINVCE",234408,13675782,"PHE Crop Phase 2 Stage 2-CSD Work 2019","","Jan De Nul (Australia)","PIR","C100134.6106.02.01",NA,0.612372435695795,1
"247","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/08/2019",3,"2019/017",22,"",NA,"$APINVCE",239936,482269,"PHE CROP Phase 2 Stage 2-CSD Works 2019","","Jan De Nul (Australia)","PIR","C100134.6106.02.01",NA,0.612372435695795,1
"249","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/08/2019",3,"2019/016",24,"",NA,"$APINVCE",240018,12450200,"PHE CROP Phase 2 Sate 2 CSD Works 2019","","Jan De Nul (Australia)","PIR","C100134.6106.02.01",NA,0.612372435695795,1
"2225","20PLACT","M204000","I-W Infrastructure - Wharf","31/10/2019",4,"RJ001509",12,"",NA,"$REVJRNL",0,5315,"Install Concrete Pump Pad and Platform","HelpCon Enterprises; Inv: 1455; P042571","Unposted Doc Accrual 081568","MAINT","M204000.6105.27.00",NA,0.612372435695795,1
"2227","20PLACT","M204000","I-W Infrastructure - Wharf","15/10/2019",5,"1455",14,"P042571",1,"APINVP",250068,5315,"Install Concrete Pump Pad and Platform","","HelpCon Enterprises","MAINT","M204000.6105.27.00",NA,0.612372435695795,1
"2309","20PLACT","M204000","I-W Infrastructure - Wharf","30/10/2019",5,"133800",75,"P042062",1,"APINVP",250835,1418,"Supply 4 sets stainless steel Cavotec pl","","Goodline","MAINT","M204000.6105.28.00",NA,0.612372435695795,1
"4947","20PLACT","M301000","L-B Land & Buildings - Building","17/11/2019",5,"INV-1137",76,"P043140",1,"APINVP",253172,300,"Supply and install new basin outlet","","WGM Plumbing Pty Ltd","MAINT","M301000.6105.28.00",NA,0.612372435695795,1
"9569","20PLACT","M401000","P-C Plant & Equip - Conveyors System","1/11/2019",5,"00007057",185,"P041998",1,"APINVP",251054,3802,"Fabricate and install CV06 handrail exte","","Madson Mechanical Maintenance","MAINT","M401000.6105.28.00",NA,0.612372435695795,1
"9585","20PLACT","M401000","P-C Plant & Equip - Conveyors System","27/11/2019",5,"1476",201,"P043627",1,"APINVP",255144,22470,"Install concrete valve, pit, liner CV03","","HelpCon Enterprises","MAINT","M401000.6105.28.00",NA,0.612372435695795,1
"10030","20PLACT","M401000","P-C Plant & Equip - Conveyors System","23/07/2019",2,"8947087",129,"P040188",41,"APINVP",233949,45,"ADAPTOR STEEL FITTING CONDUIT FLEX 25MM","","Rexel Electical Supplies Pty Ltd","MAINT","M401000.6230.28.00",NA,0.612372435695795,1
"11606","20PLACT","M403000","P-S Plant & Equip - Shiploading","23/12/2019",6,"6957360",267,"P044000",9,"APINVP",260577,8,"DIN RAIL STEEL 7.5 X 35MM SLOTTED","","L&H Group T/A Auslec","MAINT","M403000.6230.25.00",NA,0.612372435695795,1
"12724","20PLACT","M405000","P-W Plant & Equip - Water Distribution","6/12/2019",6,"1482",65,"P043648",1,"APINVP",258389,20820,"Installation of Concrete Valve Pits and","","HelpCon Enterprises","MAINT","M405000.6105.02.00",NA,0.612372435695795,1
"49","20PLACT","C100104","PIR IMOC PPA Equipment","21/10/2019",4,"21361",2,"P042138",1,"APINVP",248056,3390,"PPA - Supply & Install","","Vizcom Technologies Pty Ltd","PIR","C100104.6105.02.01",NA,0.577350269189626,1
"133","20PLACT","C100102","PIR IMOC Project Support Services - Construction","6/06/2019",1,"00012682",2,"P038312",1,"APINVP",227258,750,"Signage for IMOC","","Poolegrave Signs and Engraving","PIR","C100102.6105.02.01",NA,0.577350269189626,1
"741","20PLACT","C102023","POA Dome Shelter","23/09/2019",4,"124382",1,"P040443",1,"APINVP",244238,111001,"Construction Dome Shelter","","C Munro Contractors","AGREEM","C102023.6105.03.00",NA,0.577350269189626,1
"742","20PLACT","C102023","POA Dome Shelter","30/09/2019",4,"124457",2,"P040443",1,"APINVP",246540,2832,"Construction Dome Shelter","","C Munro Contractors","AGREEM","C102023.6105.03.00",NA,0.577350269189626,1
"1425","20PLACT","M202000","I-I Infrastructure - Infrastructure","19/09/2019",3,"10015088",39,"P041913",1,"APINVP",243214,735,"KWIKSET CONCRETE 20KG","","Pilbara Tools and Fasteners Pty Ltd","MAINT","M202000.6230.02.00",NA,0.577350269189626,1
"2085","20PLACT","M204000","I-W Infrastructure - Wharf","25/11/2019",5,"0108",41,"P043477",1,"APINVP",254784,550,"Fabricate Barrier Holders","","Oneman Custom Fabrication and Design","MAINT","M204000.6105.13.00",NA,0.577350269189626,1
"2693","20PLACT","M204000","I-W Infrastructure - Wharf","30/11/2019",5,"RJ001556",374,"",NA,"$REVJRNL",0,89240," 200NB STAINLESS STEEL 316","Australian Steel & Procurement Services;","Unposted Doc Accrual 083085","MAINT","M204000.6230.02.00",NA,0.577350269189626,1
"2734","20PLACT","M204000","I-W Infrastructure - Wharf","1/11/2019",6,"00007850",379,"P041508",1,"APINVP",255464,89240," 200NB STAINLESS STEEL 316","","Australian Steel & Procurement Services","MAINT","M204000.6230.02.00",NA,0.577350269189626,1
"2835","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",2,"",NA,"$REVJRNL",0,1121,"Assorted Stainless Steel","AUSTRALIAN STEEL & PROCUREMENT SERVICES;","EOM Works Commitment accrual","MAINT","M204000.6230.03.00",NA,0.577350269189626,1
"2838","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"00007697",5,"P041084",1,"APINVP",239265,1121,"Assorted Stainless Steel","","Australian Steel & Procurement Services","MAINT","M204000.6230.03.00",NA,0.577350269189626,1
"2888","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",2,"00007696",7,"P041085",1,"APINVP",237273,3642,"Assorted Stainless Steel","","Australian Steel & Procurement Services","MAINT","M204000.6230.13.00",NA,0.577350269189626,1
"4605","20PLACT","M301000","L-B Land & Buildings - Building","27/08/2019",3,"1428",78,"P041178",1,"APINVP",240757,2240,"7.2m3 of concrete","","HelpCon Enterprises","MAINT","M301000.6105.02.00",NA,0.577350269189626,1
"5589","20PLACT","M301000","L-B Land & Buildings - Building","1/08/2019",2,"2174/99802336",473,"P040382",3,"APINVP",233715,223,"SEALANT MARINE&CONSTRUCTION+","","Bunnings Group","MAINT","M301000.6230.02.00",NA,0.577350269189626,1
"5590","20PLACT","M301000","L-B Land & Buildings - Building","1/08/2019",2,"2174/99802336",474,"P040382",4,"APINVP",233715,223,"SEALANT MARINE&CONSTRUCTION+","","Bunnings Group","MAINT","M301000.6230.02.00",NA,0.577350269189626,1
"6058","20PLACT","M301000","L-B Land & Buildings - Building","18/09/2019",3,"2174/99803127",942,"P041672",11,"APINVP",242788,73,"CONSTRUCTION ADHESIVE SELLEYS","","Bunnings Group","MAINT","M301000.6230.02.00",NA,0.577350269189626,1
"10870","20PLACT","M402000","P-A Plant & Equip - Sample Station","24/06/2019",1,"00006851",13,"P040032",1,"APINVP",229523,1608,"Fabricate CV10 Shrouds","","Madson Mechanical Maintenance","MAINT","M402000.6230.28.00",NA,0.577350269189626,1
"11443","20PLACT","M403000","P-S Plant & Equip - Shiploading","19/09/2019",3,"00008018",104,"P041924",1,"APINVP",243046,983,"STAINLESS STEEL 316 WELDMESH","","Australian Steel & Procurement Services","MAINT","M403000.6230.25.00",NA,0.577350269189626,1
"11484","20PLACT","M403000","P-S Plant & Equip - Shiploading","15/10/2019",4,"00008269",145,"P042587",2,"APINVP",249262,328,"STAINLESS STEEL 316 WELDMESH","","Australian Steel & Procurement Services","MAINT","M403000.6230.25.00",NA,0.577350269189626,1
"13664","20PLACT","M409000","P-M Plant & Equip - Mobile Plant","21/11/2019",5,"MPSINV5452",50,"P042249",2,"APINVP",254069,742,"VARIATION ADDITIONAL WORKS","","Mechanical Project Services Pty Ltd","MAINT","M409000.6105.02.00",NA,0.577350269189626,1
