FORMAT XLONE REPORT,DefnSheetName=_defntmp_,,,,,,,,,,,,,,,,
SET,Ledger Name,Project No,Project Description,Date,Period,Reference,Trans Nbr,Ordernr,Order Line Nbr,Document Type,Unique Number,Amount,Narrative 1,Narrative 2,Narrative 3,Funding Source,Accountnr
LIST,19PLACT,C100134,PIR Channel Risk and Optimisation Project CROP General,29/06/2018,1,PHS-117-PPA,2,,,$APINVCE,161952,"19,969",Pre Dredge survey Processing,,Precision Hydrographic Services,PIR,C100134.6110.02.01
LIST,19PLACT,C100134,PIR Channel Risk and Optimisation Project CROP General,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,-659,Advertising - CROP,P022208/6,EOM PL Commitment accrual,PIR,C100134.6700.02.00
LIST,19PLACT,C100146,CMRP Construction Phase,26/06/2018,1,4891,1,P023363,00001,APINVP,162815,"298,543",Design and Construct,,Austral Construction Pty Ltd,PIR,C100146.6105.02.00
LIST,19PLACT,C100163,CV05/CV06 Chute Upgrade,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,"-169,992",Minor Works Contract,P026891/1,EOM PL Commitment accrual,MIN1617,C100163.6105.02.00
LIST,19PLACT,C100163,CV05/CV06 Chute Upgrade,30/06/2018,1,INV-0550,2,P026891,00002,APINVP,162237,"17,711",Minor Works Contract,,Maddison Engineering Pty Ltd T/A All Wes,MIN1617,C100163.6105.02.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-7,500",Unposted Capital PO's for work performed,P028952 BG&E PTY LIMITED,Berth 3 Deck Replacement,MAJOR,C100185.6100.02.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,-700,Unposted Capital PO's for work performed,P021163 ROYAL WOLF TRADING AUSTRALIA,Berth 3 Deck Replacement,MAJOR,C100185.6105.02.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-260,000",Unposted Capital PO's for work performed,P028517 YORK CIVIL PTY LTD,Berth 3 Deck Replacement,MAJOR,C100185.6105.27.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000957,1,,,$REVJRNL,162010,"-7,333",Blackwoods Buidling,June 2018 Accrual,,MAJOR,C100185.6360.02.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000963,2,,,$REVJRNL,162026,"-7,333",Blackwoods Buidling,April 2018 Accrual,,MAJOR,C100185.6360.02.00
LIST,19PLACT,C100185,Berth 3 Deck Replacement,30/06/2018,1,RJ000964,3,,,$REVJRNL,162027,"-7,333",Blackwoods Buidling,May 2018 Accrual,,MAJOR,C100185.6360.02.00
LIST,19PLACT,C100207,PPA Vessel Motion Study,2/07/2018,1,RJ000962,1,,,$REVJRNL,161970,"-40,600",Vessel Motion Study Est June Costs,As advised by Frans Schlack,,MIN1718,C100207.6110.02.01
LIST,19PLACT,C100207,PPA Vessel Motion Study,28/06/2018,1,PC006426,1,,,PCEXP,162904,10,Victualling,Novotel Melbourne on C   Melbourne   VIC,Frans Schlack,MIN1718,C100207.6725.02.04
LIST,19PLACT,C100207,PPA Vessel Motion Study,28/06/2018,1,PC006428,2,,,PCEXP,162905,21,Taxi,BLACK CAB VIC 132227     OAKLEIGH    VIC,Frans Schlack,MIN1718,C100207.6725.02.04
LIST,19PLACT,C100207,PPA Vessel Motion Study,28/06/2018,1,PC006430,3,,,PCEXP,162906,61,Taxi,WWW.INGOGO               SYDNEY      NSW,Frans Schlack,MIN1718,C100207.6725.02.04
LIST,19PLACT,C100207,PPA Vessel Motion Study,29/06/2018,1,PC006429,4,,,PCEXP,162907,35,Victualling,Novotel Melbourne on C   Melbourne   VIC,Frans Schlack,MIN1718,C100207.6725.02.04
LIST,19PLACT,C100213,DCW Lighting Upgrade,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-6,929",Unposted Capital PO's for work performed,P027028 MULTI SERVICE GROUP,DCW Lighting Upgrade,MIN1718,C100213.6105.12.00
LIST,19PLACT,C100216,"New PPUs (Hed 28, Hed 29 and Hed 30)",30/06/2018,1,RJ000949,1,,,$REVJRNL,0,-340,Freight,P024575/2,EOM PL Commitment accrual,MIN1718,C100216.6885.02.00
LIST,19PLACT,C100227,Water Tank Access Stairs,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-19,569",Unposted Capital PO's for work performed,P028352 KBSS ENGINEERING,Water Tank Access Stairs,MIN1718,C100227.6105.01.00
LIST,19PLACT,C100229,Fans VL Shed,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-6,000",Unposted Capital PO's for work performed,P027770 BIG ASS FANS AUSTRALIA PTY LTD,Fans VL Shed,MIN1718,C100229.6105.01.00
LIST,19PLACT,M201000,I-D Infrastructure - Site Road,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-1,625","CERVAN Scissor Barge, Coxswain x 2 and D",CERVAN MARINE & MAINTENANCE.; P025052/1,EOM Works Commitment accrual,MAINT,M201000.6230.02.00
LIST,19PLACT,M201000,I-D Infrastructure - Site Road,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-17,643",Continuation of Wharf area Line Marking,DURATEC AUSTRALIA PTY LTD; P027962/2,EOM Works Commitment accrual,MAINT,M201000.6230.28.00
LIST,19PLACT,M201000,I-D Infrastructure - Site Road,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,"-4,000","Supply Labour, Plant & Equip to reseal C",HELPCON ENTERPRISES; P027285/1,EOM Works Commitment accrual,MAINT,M201000.6230.28.00
LIST,19PLACT,M201000,I-D Infrastructure - Site Road,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,"-2,470",Service - Contractor Service - Helpcon,HELPCON ENTERPRISES; P027654/0,EOM Works Commitment accrual,MAINT,M201000.6230.28.00
LIST,19PLACT,M201000,I-D Infrastructure - Site Road,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,-267,Reconfigure retic sprinkler at admin,TRUSTEE FOR THE SUMMA TRUST; P029067/0,EOM Works Commitment accrual,MAINT,M201000.6230.28.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,-373,ACELECT Est:6385 Helipad - Wire up new H,ACELECT PTY LTD; P022607/1,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-56,DRILL LONG SERIES STRAIGHT SHANK 10.0MM,BLACKWOODS HARDWARE; P028201/0,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,-79,DRILL LONG SERIES STRAIGHT SHANK 12.0MM,BLACKWOODS HARDWARE; P028201/0,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,-28,DRILL LONG SERIES STRAIGHT SHANK 4.0MM,BLACKWOODS HARDWARE; P028201/0,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,5,,,$REVJRNL,0,-24,DRILL LONG SERIES STRAIGHT SHANK 6.0MM,BLACKWOODS HARDWARE; P028201/0,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,30/06/2018,1,RJ000950,6,,,$REVJRNL,0,-40,DRILL LONG SERIES STRAIGHT SHANK 8.0MM,BLACKWOODS HARDWARE; P028201/0,EOM Works Commitment accrual,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,21/05/2018,1,PH6662PS,7,P028201,00001,APINVP,162762,87,DRILL LONG SERIES STRAIGHT SHANK 12.0MM,,Blackwoods Hardware,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,21/05/2018,1,PH6662PS,8,P028201,00002,APINVP,162762,61,DRILL LONG SERIES STRAIGHT SHANK 10.0MM,,Blackwoods Hardware,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,21/05/2018,1,PH6662PS,9,P028201,00003,APINVP,162762,44,DRILL LONG SERIES STRAIGHT SHANK 8.0MM,,Blackwoods Hardware,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,21/05/2018,1,PH6662PS,10,P028201,00004,APINVP,162762,26,DRILL LONG SERIES STRAIGHT SHANK 6.0MM,,Blackwoods Hardware,MAINT,M202000.6230.02.00
LIST,19PLACT,M202000,I-I Infrastructure - Infrastructure,21/05/2018,1,PH6662PS,11,P028201,00006,APINVP,162762,31,DRILL LONG SERIES STRAIGHT SHANK 4.0MM,,Blackwoods Hardware,MAINT,M202000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-1,287",DUREBILD STE-LGHT GRY N35,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-122,EPOXY THINNER-20L,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,-391,HARDENERS-DUREBILD STE ST,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,-45,RCTA-19113R FRAME 270MM,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,5,,,$REVJRNL,0,-242,WEATHERMAX HBR PT B-4L,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,6,,,$REVJRNL,0,"-4,578",WEATHERMAX HBR-CLEAR BASE,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M203000,I-L Infrastructure - Laydown / Stockyard,30/06/2018,1,RJ000950,7,,,$REVJRNL,0,-604,WEATHERMAX HER FT B-4L,DULUX AUSTRALIA; P028121/1,EOM Works Commitment accrual,MAINT,M203000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,10/05/2018,1,PHE01521,1,P027984,00001,APINVP,162186,"2,400",ASSIST TAMS WITH PLACING FENDER ON,,QUBE Ports Pty Ltd,MAINT,M204000.6105.26.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,28/05/2018,1,SV0037649,1,P024830,00001,APINVP,162195,"33,595",Service - Contractor Service - CMA,,CMA Electro-Hydraulic Engineers,MAINT,M204000.6105.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,28/06/2018,1,000175746,2,P027513,00001,APINVP,162254,"9,080",Service - Contractor Service 2 - Cavotec,,Cavotec Australia Pty Ltd,MAINT,M204000.6105.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,-467,FAB OF 6MM CHECKER PLATE THRESHOLD PLATE,SF SHAW FABRICATIONS; P029096/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-960,JETTY SIGN 1800 X 1200 ALUMINUM NON REF,NORTHWEST SIGNS; P029044/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,"-21,600",CERVAN MONTHLY FRANNA HIRE TOWN JETTY PO,CERVAN MARINE & MAINTENANCE.; P023795/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,-372,As2700 R22 Interfine 979 Homebush Red,AKZO NOBEL PTY LTD; P023455/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,5,,,$REVJRNL,0,-41,3/8 12OPS I SAFETY VALVE,DULUX AUSTRALIA; P027068/1,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,6,,,$REVJRNL,0,-474,GRACO 290CC KIT,DULUX AUSTRALIA; P027068/1,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,7,,,$REVJRNL,0,-92,TITAN 319 ATRLES3 TIP,DULUX AUSTRALIA; P027068/1,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,8,,,$REVJRNL,0,-240,WIRE MIG STAINLESS STL 309LSI 1.2MM 15KG,BOC GASES AUSTRALIA LIMITED; P027710/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,9,,,$REVJRNL,0,-1,M5 FLAT WASHER 316,STAINLESS FASTENER SUPPLIES P/L; P026849,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,10,,,$REVJRNL,0,0,M5 SPRING WSHER 316,STAINLESS FASTENER SUPPLIES P/L; P026849,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,11,,,$REVJRNL,0,-11,WASHER MUDGUARD M10 S/S,STAINLESS FASTENER SUPPLIES P/L; P026849,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,12,,,$REVJRNL,0,"-19,364",JUNE 18 - CRANE HIRE FOR LINE BOAT,CERVAN MARINE & MAINTENANCE.; P028937/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,13,,,$REVJRNL,0,"-2,000",Investigate SRB Samples x 8,EXTRIN HOLDINGS PTY LTD ATF THE EXTRIN U,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,14,,,$REVJRNL,0,"-2,500",Service - Documents/Accom,EXTRIN HOLDINGS PTY LTD ATF THE EXTRIN U,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,15,,,$REVJRNL,0,-700,TOWN JETTY PLANT OUT GARDEN BED,TRUSTEE FOR THE SUMMA TRUST; P028956/0,EOM Works Commitment accrual,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,20/06/2018,1,DMI400802255,16,P029103,00001,APINVP,162200,776,4 LEG CHAIN ASSEMBLY,,Bullivants Pty Ltd,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,20/06/2018,1,DMI400802255,17,P029103,00002,APINVP,162200,137,LOAD RING 2T NO SPRING WLP,,Bullivants Pty Ltd,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,28/06/2018,1,I9157370,18,P029119,00001,APINVP,162217,432,Interzone 954 N24 Silver Grey,,Akzo Nobel Pty Ltd,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,00025795,19,P029044,00001,APINVP,162287,960,JETTY SIGN 1800 X 1200 ALUMINUM NON REF,,Northwest Signs,MAINT,M204000.6230.02.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-5,400",FABRICATION OF FENDER BEAM 38 BERTH 1,TOTAL AMS PTY LTD; P025933/1,EOM Works Commitment accrual,MAINT,M204000.6230.25.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-163,"Wormald Service Quote - OPT00603410, $3,",WORMALD T/A GAAM EMERGENCY PRODUCTS; P01,EOM Works Commitment accrual,MAINT,M204000.6230.25.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,-504,CABLE TIE NYLON BLACK 370MM LENGTH 7.6MM,AUSLEC; P020739/1,EOM Works Commitment accrual,MAINT,M204000.6230.25.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,-87,BREATHER SPIN ON ASSEMBLY KIT,REPCO AUTO PARTS; P027692/2,EOM Works Commitment accrual,MAINT,M204000.6230.25.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-10,800",UHMWPE Pads – Ticona GUR4150,TRELLEBORG MARINE SYSTEMS AUS PTY LTD; P,EOM Works Commitment accrual,MAINT,M204000.6230.26.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-138,Dn100 Pipe Process Groove Per End,REECE PTY LTD; P021277/1,EOM Works Commitment accrual,MAINT,M204000.6230.26.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,-185,Dn65 Pipe Process Grooved Per End,REECE PTY LTD; P021277/1,EOM Works Commitment accrual,MAINT,M204000.6230.26.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,"-2,400",ASSIST TAMS WITH PLACING FENDER ON,QUBE PORTS PTY LTD; P027984/0,EOM Works Commitment accrual,MAINT,M204000.6230.26.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,-840,CERVAN Boat Hire Alice and Coxswain 2 Da,CERVAN MARINE & MAINTENANCE.; P025009/1,EOM Works Commitment accrual,MAINT,M204000.6230.27.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,-25,WASHER MUDGUARD M12 S/S,STAINLESS FASTENER SUPPLIES P/L; P026589,EOM Works Commitment accrual,MAINT,M204000.6230.27.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,-593,TAPE SANDBLASTING TESA 4432 50MM X 50M,BLACKWOODS HARDWARE; P025302/4,EOM Works Commitment accrual,MAINT,M204000.6230.27.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,1,,,$REVJRNL,0,"-64,000",Utah Point Software System Update,CAVOTEC AUSTRALIA PTY LTD; P007786/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,2,,,$REVJRNL,0,"-5,607",Quote CAVENG-2018-015,CAVOTEC AUSTRALIA PTY LTD; P027447/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,3,,,$REVJRNL,0,"-8,282",Apr-Jun 18 VCM & Thermography,ALS INDUSTRIAL PTY LTD; P021592/2,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,4,,,$REVJRNL,0,"-4,052",Jan-Mar 18 VCM & Thermography,ALS INDUSTRIAL PTY LTD; P021591/3,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,5,,,$REVJRNL,0,"-5,703",Supply 6m Barge in Jan Shutdown,ULTIMATE PROTECTIVE COATINGS; P024268/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,6,,,$REVJRNL,0,"-10,009",Replacement tube & materials,CMA ELECTRO-HYDRAULIC ENGINEERS; P022790,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,7,,,$REVJRNL,0,-50,M12X50MM SHCS,PILBARA TOOLS AND FASTENERS PTY LTD; P02,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,8,,,$REVJRNL,0,"-36,425",Service - Contractor Service - CMA,CMA ELECTRO-HYDRAULIC ENGINEERS; P024830,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,9,,,$REVJRNL,0,-305,Service - Contractor Service 2 - Coates,COATES HIRE SERVICE; P025207/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,10,,,$REVJRNL,0,"-17,267",Fender paintwork in April Shut,DURATEC AUSTRALIA PTY LTD; P026739/1,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,11,,,$REVJRNL,0,"-9,113",Service - Contractor Service,DURATEC AUSTRALIA PTY LTD; P026468/1,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,12,,,$REVJRNL,0,"-4,711",B&P Piles works 28 May-3 June 2018,DURATEC AUSTRALIA PTY LTD; P028259/1,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,13,,,$REVJRNL,0,-230,Service - Contractor Service 1,WESTERN POWER SOLUTIONS; P026377/1,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,14,,,$REVJRNL,0,"-9,080",Service - Contractor Service 2 - Cavotec,CAVOTEC AUSTRALIA PTY LTD; P027513/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,15,,,$REVJRNL,0,"-1,970",Hire equip - 14/05/18 to 24/05/18,COATES HIRE OPERATIONS PTY LTD.; P027494,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
LIST,19PLACT,M204000,I-W Infrastructure - Wharf,30/06/2018,1,RJ000950,16,,,$REVJRNL,0,-424,1 x Compressor - June shutdown,COATES HIRE SERVICE; P028530/0,EOM Works Commitment accrual,MAINT,M204000.6230.28.00
